"Date","Price","Open","High","Low","Change %"
"May 12, 2019","123.42","123.43","123.43","123.18","-0.09%"
"May 10, 2019","123.53","123.09","123.64","123.03","0.32%"
"May 09, 2019","123.14","123.25","123.34","122.48","-0.06%"
"May 08, 2019","123.22","123.36","123.52","123.08","-0.14%"
"May 07, 2019","123.39","124.05","124.27","123.09","-0.54%"
"May 06, 2019","124.06","123.87","124.35","123.37","0.25%"
"May 05, 2019","123.75","123.86","124.13","123.47","-0.57%"
"May 03, 2019","124.46","124.65","124.73","124.26","-0.16%"
"May 02, 2019","124.66","124.78","125.14","124.53","-0.04%"
"May 01, 2019","124.71","125.01","125.21","124.66","-0.21%"
"Apr 30, 2019","124.97","124.88","125.06","124.39","0.06%"
"Apr 29, 2019","124.89","124.44","125.08","124.32","0.38%"
"Apr 28, 2019","124.42","124.43","124.58","124.31","0.00%"
"Apr 26, 2019","124.42","124.26","124.65","123.98","0.12%"
"Apr 25, 2019","124.27","125.20","125.23","124.12","-0.69%"
"Apr 24, 2019","125.13","125.60","125.68","124.80","-0.38%"
"Apr 23, 2019","125.61","126.05","126.11","125.28","-0.33%"
"Apr 22, 2019","126.03","125.88","126.12","125.75","0.15%"
"Apr 21, 2019","125.84","125.86","125.92","125.75","-0.04%"
"Apr 19, 2019","125.89","125.86","125.97","125.70","0.10%"
"Apr 18, 2019","125.76","126.60","126.71","125.67","-0.66%"
"Apr 17, 2019","126.59","126.36","126.89","126.31","0.19%"
"Apr 16, 2019","126.35","126.66","126.77","126.19","-0.28%"
"Apr 15, 2019","126.70","126.58","126.81","126.47","0.06%"
"Apr 14, 2019","126.63","126.57","126.70","126.46","0.02%"
"Apr 12, 2019","126.61","125.64","126.81","125.62","0.76%"
"Apr 11, 2019","125.66","125.16","125.78","125.05","0.40%"
"Apr 10, 2019","125.16","125.16","125.45","124.77","-0.01%"
"Apr 09, 2019","125.17","125.64","125.69","125.11","-0.29%"
"Apr 08, 2019","125.54","125.33","125.69","124.99","0.17%"
"Apr 07, 2019","125.33","125.32","125.46","125.26","0.01%"
"Apr 05, 2019","125.32","125.31","125.55","125.20","0.02%"
"Apr 04, 2019","125.30","125.23","125.41","124.95","0.04%"
"Apr 03, 2019","125.25","124.71","125.47","124.60","0.41%"
"Apr 02, 2019","124.74","124.91","124.95","124.47","-0.10%"
"Apr 01, 2019","124.86","124.34","124.97","124.25","0.24%"
"Mar 31, 2019","124.57","124.68","124.79","124.45","0.16%"
"Mar 29, 2019","124.36","124.15","124.67","124.12","0.10%"
"Mar 28, 2019","124.23","124.27","124.47","123.66","-0.02%"
"Mar 27, 2019","124.26","124.65","124.76","124.03","-0.30%"
"Mar 26, 2019","124.64","124.40","125.06","124.35","0.19%"
"Mar 25, 2019","124.40","124.40","124.85","123.89","0.03%"
"Mar 24, 2019","124.36","124.38","124.43","123.98","-0.00%"
"Mar 22, 2019","124.37","126.04","126.21","123.82","-1.32%"
